fbg,9890134,8040,140,210
fca,9705037,7856,371,684
fcb,9712220,10446,70,183
fcc,9525913,10037,286,428
fcd,9852896,8125,91,248
fce,9444384,9071,39,135
fcf,9940270,8746,41,164
fcg,9682711,10968,28,89
fda,9810837,8176,132,260
fdb,9922267,10332,153,350
fdc,9692706,10395,88,209
fdd,9925152,9318,22,44
fde,9647553,9321,108,197
fdf,9893642,9121,52,122
fdg,9906483,9236,190,291
fea,9921178,7978,173,252
feb,9862363,9167,186,263
fec,9930726,8236,20,43
fed,9931131,9112,38,75
fee,9350609,8135,10,27
fef,9812745,8560,83,174
feg,9989084,9575,49,84
ffa,9993946,8128,72,262
ffb,9860524,8085,90,203
ffc,9927780,8446,139,290
ffd,9851118,9157,44,85
ffe,9912016,7411,49,161
fff,9648175,8426,5,7
ffg,9960484,8489,6,22
fga,9907073,10459,280,383
fgb,9898296,8507,76,161
fgc,9964423,9290,49,156
fgd,9936695,8387,19,59
fge,9950612,8276,47,118
fgf,9778458,7764,61,97
fgg,9673179,8129,11,43
gaa,9953887,9350,69,195
gab,9924628,8004,39,62
gac,9982166,8456,255,397
gad,9422422,7714,98,153
gae,9847482,8545,108,187
gaf,9848344,8801,6,12
gag,9812769,8192,192,376
gba,9820232,8869,40,82
gbb,9947450,9059,433,636
gbc,9360709,9175,29,112
gbd,9790594,10311,135,282
gbe,9931919,7722,79,278
gbf,9978676,9263,100,250
gbg,9966496,8346,5,9
gca,9920073,7397,10,16
gcb,9887160,9975,231,355
gcc,9486460,8823,7,19
gcd,9983591,8326,16,47
gce,9881961,8427,7,21
gcf,9965449,9308,26,92
gcg,9925492,9433,248,505
gda,9974095,7880,57,83
gdb,9742357,7207,103,205
gdc,9949646,8743,96,252
gdd,9995403,9870,53,80
gde,9802790,9002,107,165
gdf,9744288,8561,17,60
gdg,9931264,7559,71,248
gea,9835017,9308,19,41
geb,9981303,7774,77,155
gec,9893852,9955,216,304
ged,9733572,10375,191,430
gee,9919553,9927,55,133
gef,9928446,8378,198,341
geg,9605230,7946,11,32
gfa,9821315,10235,76,139
gfb,9964462,9301,532,898
gfc,9834315,10452,156,229
gfd,9575733,8886,517,891
gfe,9635366,7298,15,25
gff,9873648,9010,114,266
gfg,9559664,7829,403,568
gga,9920924,8439,270,389
ggb,9940669,10215,130,363
ggc,9782079,11265,98,173
ggd,9978528,9081,52,283
gge,9853420,8796,101,237
ggf,9838452,8412,42,88
ggg,9949540,10317,74,143
